Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,715,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,2163,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,37841,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,10425117,,,4
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,410,Rep. of Korea,KOR,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,100,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,84604,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,60488,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,98393,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,50,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0.0,,,,0.0,,273378,,,0
