Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,1,Live animals,1,No Quantity,,,,,,,230355,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,1,Live animals,1,No Quantity,,,,,,,157,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,49919520,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,650188695,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,361266,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1992912,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,7728,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1301,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,12115,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,6803050,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,493914,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,548495,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,323834,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,5,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,205458,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,5,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,3363,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,5,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,651171,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,5,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,3545,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,6,Live trees and other plants;,1,No Quantity,,,,,,,506481,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,6,Live trees and other plants;,1,No Quantity,,,,,,,51290,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,6,Live trees and other plants;,1,No Quantity,,,,,,,40110,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5117904,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1022,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,17922,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,118936,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,55621,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,8,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,14845247,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,8,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,1947455,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,92,Br. Virgin Isds,VGB,,,,,,,,8,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,5616,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,9,"Coffee, tea, matΦ and spices",1,No Quantity,,,,,,,256225,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,9,"Coffee, tea, matΦ and spices",1,No Quantity,,,,,,,1930429,,,0
