Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,1,Live animals,1,No Quantity,,,,,,,11692,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,1,Live animals,1,No Quantity,,,,,,,44200,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,1,Live animals,1,No Quantity,,,,,,,901,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,1,Live animals,1,No Quantity,,,,,,,480186,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,1,Live animals,1,No Quantity,,,,,,,35844,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,75712945,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,29572588,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,380494,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,5305,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,2915356,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,522319,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,295216,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,6402,,,0
