Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,115366,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,6019,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,3112615,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,5374823,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,410,Rep. of Korea,KOR,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,363600,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,7905292,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,132,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,177349,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,643,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,145700,,,0
