Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,4166,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,18770283,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,4000,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,10145,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,99585728,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,7289787,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1065621776,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,11606339,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,91059,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,4304768,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,29367034,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,3579687,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,114015841,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,13276799,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,381077,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,551711,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,3686720,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,16744,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,74,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,5534832,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,4484942,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,58,,,0
