Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,1449840,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,5223275,,,4
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,1,Animals; live,1,No Quantity,0.0,,,,0.0,,2395395,,,4
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0.0,,,,0.0,,91902,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0.0,,,,0.0,,1380235591,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0.0,,,,0.0,,684969416,,,4
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0.0,,,,0.0,,22167510,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0.0,,,,0.0,,3355367,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0.0,,,,0.0,,6163,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0.0,,,,0.0,,122012504,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0.0,,,,0.0,,54896817,,,4
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0.0,,,,0.0,,1060844,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0.0,,,,0.0,,3500878,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0.0,,,,0.0,,2000449913,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0.0,,,,0.0,,38831130,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0.0,,,,0.0,,41187,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0.0,,,,0.0,,183139,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0.0,,,,0.0,,16257153,,,0
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0.0,,,,0.0,,102020,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0.0,,,,0.0,,3877934,,,4
H5,2017,2017,2017,2,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0.0,,,,0.0,,2080853,,,4
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0.0,,,,0.0,,14183032,,,0
H5,2017,2017,2017,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0.0,,,,0.0,,4977,,,0
