Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,21395,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,6569865,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,831512,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,40829,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,59751716,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,68605967,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,35722166,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,14977354,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,601355,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,45020,,,0
