Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,80447821,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,100,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,9603437,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,459,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,5728643,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,128,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,16929261,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,1,Animals; live,1,No Quantity,,,,,,,156000,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,330010386,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,6789042,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,23463583,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2030528,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,172669654,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,1332,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,44585128,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1743522,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,218,Ecuador,ECU,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,15109952,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,18557290,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,5629865,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,15244223,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,17631,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,12561998,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,2351003,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,62892498,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,46169768,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,292732413,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,102298242,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,16463238,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,47161,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,132787,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,997389,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,,,,,,,1286906,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,3639902,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,218,Ecuador,ECU,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,281783186,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,3495,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,79763,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,120271,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,2401099,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,1454254,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,1069694,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,218,Ecuador,ECU,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,120649,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,272411,,,0
H4,2012,2012,2012,2,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,2481,,,0
H4,2012,2012,2012,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,9055805,,,0
