Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,1,Live animals,1,No Quantity,,,,,,,28015,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,1,Live animals,1,No Quantity,,,,,,,2650,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,1,Live animals,1,No Quantity,,,,,,,30000,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,1,Live animals,1,No Quantity,,,,,,,849197,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,169304,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,14564031,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,15277785,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,4750240,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,839434,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,482298,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,578487,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,600005,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,57976,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,37467,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,1286227,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,5684704,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,134,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,881970,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,53200,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,5,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,4737,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,5,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,99810,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,6,Live trees and other plants;,1,No Quantity,,,,,,,599782,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,6,Live trees and other plants;,1,No Quantity,,,,,,,1355,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,12,Algeria,DZA,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,214500,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1392301,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,786682,,,0
