Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,23058821,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,25500,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,8565921,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,2470965,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,28616,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,25302719,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,75296,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,283217419,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,456981,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,45422740,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,129452658,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,3,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,114933900,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,3,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,3060118,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,218,Ecuador,ECU,,,,,,,,3,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,6640696,,,0
